Nº,Project,MethodName,#Assrtions,#Conditions,#TryCatch,#Loop,#Throws,#Statements,#Tokens,#Hamcrest,#Mockito,#BadApi,#LOC,#Expressions,#Depth,#Vocabulary,#Understandability,#BodySize,#Dexterity,#NonWhiteCharacters
1621,checkstyle-checkstyle-8.18,ImportOrderCheckTest.testStaticGroupsBottom,1,0,0,0,1,10,98,0,1,0,31,57,8,14,396,73,9,644
1622,checkstyle-checkstyle-8.18,JavadocStyleCheckTest.packageInfoAnnotation,1,0,0,0,1,3,50,0,1,0,10,33,8,16,246,42,9,314
1623,checkstyle-checkstyle-8.18,IndentationTest.testCorrectField,1,0,0,0,1,5,52,0,1,0,16,30,6,16,242,48,9,337
1624,checkstyle-checkstyle-8.18,JavadocStyleCheckTest.testExcludeScope,1,0,0,0,1,5,172,0,1,0,16,113,8,16,887,124,9,1093
1625,checkstyle-checkstyle-8.18,MethodLengthCheckTest.testGetRequiredTokens,1,0,0,0,0,2,26,0,0,0,7,16,7,8,105,20,8,238
1626,checkstyle-checkstyle-8.18,JavadocTypeCheckTest.testVersionRegularEx,1,0,0,0,1,4,69,0,1,0,13,43,8,14,313,53,9,449
1627,checkstyle-checkstyle-8.18,FileContentsTest.testDeprecatedAbbreviatedMethod,2,0,0,0,0,7,139,0,0,0,22,75,9,15,586,98,8,516
1628,checkstyle-checkstyle-8.18,ImportControlLoaderPowerTest.testInputStreamFailsOnRead,2,0,1,0,1,7,138,0,0,0,32,75,10,30,619,104,9,581
1629,checkstyle-checkstyle-8.18,AnnotationTest.testAnnotationOnConstructorCall,1,0,0,0,1,3,35,0,1,0,10,22,8,13,165,31,9,259
1630,checkstyle-checkstyle-8.18,WriteTagCheckTest.testMissingTag,1,0,0,0,1,4,51,0,1,0,13,31,8,14,226,41,9,307
1631,checkstyle-checkstyle-8.18,SeverityLevelCounterTest.testAddExceptionWarning,2,0,0,0,0,5,67,0,0,0,16,38,7,12,263,50,8,389
1632,checkstyle-checkstyle-8.18,PkgImportControlTest.testRegExpChildCheckAccess,11,0,0,0,0,11,222,0,0,0,34,135,6,9,875,144,6,1842
1633,checkstyle-checkstyle-8.18,MainFrameModelTest.testOpenFileWithParseModeJavaWithComments,0,0,0,0,1,3,22,0,0,0,10,16,6,10,88,16,6,185
1634,checkstyle-checkstyle-8.18,IllegalInstantiationCheckTest.testWrongPackage,1,0,0,0,1,4,44,0,1,0,13,27,8,14,195,37,9,353
1635,checkstyle-checkstyle-8.18,RightCurlyCheckTest.testRightCurlyOptionValueOf,1,0,0,0,0,2,24,0,0,0,7,16,6,7,101,19,8,175
1636,checkstyle-checkstyle-8.18,AbstractViolationReporterTest.testGetMessageBundleWithPackage,1,0,0,0,1,1,20,0,0,0,3,14,7,6,84,12,6,222
1637,checkstyle-checkstyle-8.18,JavadocParagraphCheckTest.testGetRequiredTokens,1,0,0,0,0,3,36,0,0,0,10,19,7,9,146,29,9,245
1638,checkstyle-checkstyle-8.18,SuppressionsLoaderTest.testXpathNoCheckYesId,1,0,0,0,1,3,38,0,0,0,10,23,6,13,164,31,9,254
1639,checkstyle-checkstyle-8.18,CheckerPowerTest.testCatchErrorInProcessFilesMethod,4,0,1,0,1,9,178,2,0,0,45,94,11,31,835,135,10,867
1640,checkstyle-checkstyle-8.18,VariableDeclarationUsageDistanceTest.testArrayTypeStyle,1,0,0,0,1,7,127,0,1,0,22,72,8,19,628,101,10,693
1641,checkstyle-checkstyle-8.18,AuditEventDefaultFormatterTest.testFormatFullyQualifiedModuleNameDoesNotContainCheckSuffix,1,0,0,0,0,5,77,0,0,0,16,43,8,16,361,62,8,517
1642,checkstyle-checkstyle-8.18,JavadocParagraphCheckTest.testIncorrect,1,0,0,0,1,3,285,0,1,0,10,200,8,16,1972,209,9,1684
1643,checkstyle-checkstyle-8.18,ThreadModeSettingsTest.testResolveCheckerInSingleThreadMode,1,0,0,0,0,2,28,0,0,0,7,20,7,8,125,23,8,286
1644,checkstyle-checkstyle-8.18,AtclauseOrderTest.testCorrect,1,0,0,0,1,5,52,0,1,0,16,30,6,16,242,48,9,324
1645,checkstyle-checkstyle-8.18,CustomImportOrderCheckTest.testDefaultConfiguration,1,0,0,0,1,4,40,0,1,0,13,25,8,14,182,35,9,298
1646,checkstyle-checkstyle-8.18,SuperCloneCheckTest.testClearState,2,0,0,0,1,4,106,0,0,0,13,67,13,31,602,81,10,809
1647,checkstyle-checkstyle-8.18,RegexpCheckTest.testIllegalFailBelowErrorLimit,1,0,0,0,1,6,87,0,1,0,19,53,8,14,376,65,9,519
1648,checkstyle-checkstyle-8.18,AbstractClassNameCheckTest.testIllegalAbstractClassName,1,0,0,0,1,6,90,0,1,0,19,54,8,15,406,69,9,636
1649,checkstyle-checkstyle-8.18,NoWhitespaceAfterCheckTest.testTypecast,1,0,0,0,1,4,69,0,1,0,13,43,8,14,313,53,9,385
1650,checkstyle-checkstyle-8.18,JavadocUtilTest.testGetPreviousSibling,1,0,0,0,0,9,80,0,0,0,28,44,7,12,319,63,8,388
1651,checkstyle-checkstyle-8.18,RightCurlyTest.testRightCurlyAloneSameAndLiteralDo,1,0,0,0,1,5,54,0,1,0,16,31,6,16,249,49,9,360
1652,checkstyle-checkstyle-8.18,SuppressWarningsCheckTest.testCompactDefaultNonConstant,1,0,0,0,1,3,159,0,1,0,10,104,8,13,833,113,9,1221
1653,checkstyle-checkstyle-8.18,ImportOrderCheckTest.testGroups,1,0,0,0,1,6,96,0,1,0,19,59,8,15,421,71,9,631
1654,checkstyle-checkstyle-8.18,EmptyLineSeparatorCheckTest.testClassOnly,1,0,0,0,1,5,60,0,1,0,16,36,8,14,257,47,9,435
1655,checkstyle-checkstyle-8.18,IndentationCheckTest.testNewHandler,0,0,0,0,1,4,94,0,0,0,13,57,8,15,442,67,9,472
1656,checkstyle-checkstyle-8.18,MagicNumberCheckTest.testIgnoreNone,1,0,0,0,1,5,627,0,1,0,16,414,8,14,4919,425,9,3037
1657,checkstyle-checkstyle-8.18,SingleSpaceSeparatorCheckTest.testWhitespaceInStartOfTheLine,1,0,0,0,1,3,40,0,1,0,10,25,8,13,187,34,9,294
1658,checkstyle-checkstyle-8.18,AbstractJavadocCheckTest.testCheckReuseAfterParseErrorWithFollowingAntlrErrorInTwoFiles,2,0,0,0,1,6,140,0,1,0,19,82,9,26,643,104,9,887
1659,checkstyle-checkstyle-8.18,ImportControlCheckTest.testStrategyOnMismatchOne,1,0,0,0,1,4,72,0,1,0,13,45,8,14,324,55,9,498
1660,checkstyle-checkstyle-8.18,RootNodeTest.testSetSystemId,2,0,1,0,0,1,37,0,0,0,13,19,9,9,167,26,7,215
1661,checkstyle-checkstyle-8.18,XpathRegressionEmptyForIteratorPadTest.testNotFollowed,0,0,0,0,1,6,95,0,0,0,19,57,10,23,451,79,10,873
1662,checkstyle-checkstyle-8.18,UnnecessaryParenthesesCheckTest.testDefault,1,0,0,0,1,3,397,0,1,0,10,271,8,18,2896,280,9,2101
1663,checkstyle-checkstyle-8.18,ClassFanOutComplexityCheckTest.testAnnotation,1,0,0,0,1,4,119,0,1,0,13,74,8,14,569,84,9,539
1664,checkstyle-checkstyle-8.18,EmptyCatchBlockCheckTest.testWithUserSetValues,1,0,0,0,1,5,107,0,1,0,16,70,8,14,507,81,9,772
1665,checkstyle-checkstyle-8.18,CheckstyleAntTaskTest.testPathsFileWithLogVerification,6,0,0,0,1,19,275,2,0,0,58,151,9,42,1207,196,9,1301
1666,checkstyle-checkstyle-8.18,ClassFanOutComplexityCheckTest.testExtends,1,0,0,0,1,4,53,0,1,0,13,32,8,14,236,42,9,310
1667,checkstyle-checkstyle-8.18,CustomImportOrderCheckTest.testSamePackageDepthLongerThenActualPackage,1,0,0,0,1,6,62,0,1,0,19,37,8,14,258,49,9,514
1668,checkstyle-checkstyle-8.18,AbstractClassNameCheckTest.testGetAcceptableTokens,1,0,0,0,0,4,46,0,0,0,13,22,7,11,189,38,9,282
1669,checkstyle-checkstyle-8.18,SuppressWarningsHolderTest.testIsSuppressedAfterEventEnd2,1,0,0,0,1,3,40,0,0,0,10,25,6,10,163,28,8,237
1670,checkstyle-checkstyle-8.18,CheckerPowerTest.testCatchErrorWithNoFileName,4,0,1,0,1,8,164,2,0,0,42,86,11,29,783,126,10,809
1671,checkstyle-checkstyle-8.18,AstRegressionTest.testCustomAstTree,0,0,0,0,1,12,162,0,0,0,37,109,7,8,667,118,6,995
1672,checkstyle-checkstyle-8.18,EmptyLineSeparatorCheckTest.testNonPackageInfoWithJavadocBeforePackage,1,0,0,0,1,3,42,0,1,0,10,26,8,13,196,35,9,350
1673,checkstyle-checkstyle-8.18,XpathRegressionNestedIfDepthTest.testCorrect,0,0,0,0,1,5,78,0,0,0,16,46,10,19,385,67,10,630
1674,checkstyle-checkstyle-8.18,CheckerPowerTest.testCatchErrorWithCacheWithNoFileName,4,0,1,0,1,14,256,1,0,0,69,135,11,52,1210,194,10,1246
1675,checkstyle-checkstyle-8.18,ParseTreeTablePresentationTest.testGetValueAtDetailNode,12,0,1,0,0,22,317,0,0,0,77,167,9,41,1426,230,9,1515
1676,checkstyle-checkstyle-8.18,JavadocUtilTest.testInlineTagPositions,3,0,0,0,0,6,108,0,0,0,19,60,9,20,441,78,10,435
1677,checkstyle-checkstyle-8.18,ImportOrderCheckTest.testStaticGroupsAlphabeticalOrder,1,0,0,0,1,6,78,0,1,0,19,47,8,14,332,59,9,517
1678,checkstyle-checkstyle-8.18,RegexpCheckTest.testGetRequiredTokens,1,0,0,0,0,2,26,0,0,0,7,16,7,8,105,20,8,220
1679,checkstyle-checkstyle-8.18,ParameterNumberCheckTest.testIgnoreOverriddenMethods,1,0,0,0,1,4,64,0,1,0,13,39,8,14,289,49,9,369
1680,checkstyle-checkstyle-8.18,SuppressionFilterTest.testAcceptOnNullFile,1,0,0,0,1,5,51,0,0,0,16,29,7,13,227,44,8,325
1681,checkstyle-checkstyle-8.18,MainTest.testGenerateXpathSuppressionOptionEmptyConfig,2,0,0,0,1,3,65,0,0,0,17,36,10,14,287,42,8,395
1682,checkstyle-checkstyle-8.18,SuppressionCommentFilterTest.testArgumentSuppression,0,0,0,0,1,7,94,0,0,0,22,57,10,14,426,72,9,641
1683,checkstyle-checkstyle-8.18,JavadocTypeCheckTest.testGetAcceptableTokens,1,0,0,0,0,4,56,0,0,0,13,30,7,13,241,46,9,342
1684,checkstyle-checkstyle-8.18,DetailNodeTreeStringPrinterTest.testUnescapedJavaCodeWithGenericsInJavadoc,2,0,1,0,1,1,74,0,0,0,17,41,12,19,430,54,7,517
1685,checkstyle-checkstyle-8.18,XpathQueryGeneratorTest.testExpr,1,0,0,0,0,6,74,0,0,0,19,39,7,17,330,63,9,559
1686,checkstyle-checkstyle-8.18,IndentationCheckTest.testInvalidForWithChecker,0,0,0,0,1,12,501,0,0,0,37,303,8,16,2785,324,9,2115
1687,checkstyle-checkstyle-8.18,AttributeNodeTest.testIterate,2,0,1,0,0,1,43,0,0,0,9,24,9,13,202,32,7,247
1688,checkstyle-checkstyle-8.18,WriteTagCheckTest.testDoubleTag,1,0,0,0,1,5,73,0,1,0,16,44,8,14,320,55,9,421
1689,checkstyle-checkstyle-8.18,IllegalTypeCheckTest.testExtendsImplements,1,0,0,0,1,5,132,0,1,0,16,84,8,14,629,95,9,782
1690,checkstyle-checkstyle-8.18,ImportOrderCheckTest.testStaticGroupsOrderAbove,1,0,0,0,1,6,96,0,1,0,19,59,8,15,421,71,9,662
1691,checkstyle-checkstyle-8.18,XpathFilterElementTest.testNullLocalizedMessage,1,0,0,0,0,4,58,0,0,0,13,32,7,12,247,45,8,335
1692,checkstyle-checkstyle-8.18,RightCurlyTest.testRightCurlyAlone,1,0,0,0,1,5,97,0,1,0,16,56,10,18,481,77,9,535
1693,checkstyle-checkstyle-8.18,AnnotationLocationCheckTest.testAnnotationInForEachLoopParameterAndVariableDef,1,0,0,0,1,7,73,0,1,0,22,44,8,14,302,57,9,688
1694,checkstyle-checkstyle-8.18,InlineTagUtilTest.testExtractInlineTags,1,0,0,0,0,7,119,0,0,0,22,65,6,13,456,80,10,489
1695,checkstyle-checkstyle-8.18,TreeWalkerTest.testFinishLocalSetupFullyInitialized,3,0,0,0,0,10,112,0,0,0,31,63,7,21,431,81,8,651
1696,checkstyle-checkstyle-8.18,FinalClassCheckTest.testQualifiedClassName,1,0,0,0,1,2,51,0,0,0,7,30,8,12,241,36,8,271
1697,checkstyle-checkstyle-8.18,DefaultMethodsTest.testSwitch,1,0,0,0,1,3,35,0,1,0,10,22,8,13,165,31,9,241
1698,checkstyle-checkstyle-8.18,MainTest.testIsProperUtilsClass,1,0,0,0,1,1,16,0,0,0,3,12,8,6,76,11,6,165
1699,checkstyle-checkstyle-8.18,SeparatorWrapTest.testArrayDeclarator,1,0,0,0,1,5,65,0,1,0,16,37,10,16,307,56,9,408
1700,checkstyle-checkstyle-8.18,CheckUtilTest.testIsEqualsMethod,2,0,0,0,1,4,47,0,0,0,13,30,7,14,196,37,8,383
1701,checkstyle-checkstyle-8.18,SuperCloneCheckTest.testAnotherInputFile,1,0,0,0,1,3,44,0,1,0,10,27,8,13,206,36,9,291
1702,checkstyle-checkstyle-8.18,LeftCurlyCheckTest.testDefault3,1,0,0,0,1,3,319,0,1,0,10,202,8,14,1831,211,9,1623
1703,checkstyle-checkstyle-8.18,LeftCurlyCheckTest.testDefault2,1,0,0,0,1,3,198,0,1,0,10,125,8,13,1039,134,9,1009
1704,checkstyle-checkstyle-8.18,ParameterNameCheckTest.testSkipMethodsWithOverrideAnnotationFalse,1,0,0,0,1,6,145,0,1,0,19,89,8,15,691,104,9,868
1705,checkstyle-checkstyle-8.18,NoCloneCheckTest.testHasClone,1,0,0,0,1,3,82,0,1,0,10,55,8,13,406,64,9,421
1706,checkstyle-checkstyle-8.18,AvoidStarImportCheckTest.testDefaultOperation,1,0,0,0,1,3,87,0,1,0,10,56,8,13,421,65,9,577
1707,checkstyle-checkstyle-8.18,WriteTagCheckTest.testTagIncomplete,1,0,0,0,1,5,62,0,1,0,16,37,8,14,267,48,9,380
1708,checkstyle-checkstyle-8.18,DescendantTokenCheckTest.testMaxTokenTypeReverseOrder,1,0,0,0,1,7,99,0,1,0,22,58,8,14,431,71,9,566
1709,checkstyle-checkstyle-8.18,XmlLoaderTest.testParserConfiguredSuccessfully,1,0,0,0,1,3,44,0,0,0,10,25,9,12,191,34,8,272
1710,checkstyle-checkstyle-8.18,XdocsPagesTest.testAllCheckSections,3,3,0,2,1,2,274,0,0,1,69,149,15,47,1701,199,17,1281
1711,checkstyle-checkstyle-8.18,ScopeTest.testIsInNothing,6,0,0,0,0,6,98,0,0,0,19,69,7,12,416,73,6,426
1712,checkstyle-checkstyle-8.18,XpathRegressionTypecastParenPadTest.testRightNotPreceded,0,0,0,0,1,6,91,0,0,0,19,54,10,24,430,76,10,726
1713,checkstyle-checkstyle-8.18,SuppressWarningsHolderTest.testIsSuppressedAfterEventStart,1,0,0,0,1,3,40,0,0,0,10,25,6,10,163,28,8,238
1714,checkstyle-checkstyle-8.18,EmptyLineSeparatorCheckTest.testAllowSingleLineCommentPackage,1,0,0,0,1,3,42,0,1,0,10,26,8,13,196,35,9,310
1715,checkstyle-checkstyle-8.18,DetailASTTest.testGetChildCount,9,0,0,0,1,20,205,0,0,0,61,111,7,18,861,147,8,1103
1716,checkstyle-checkstyle-8.18,ImportControlCheckTest.testUrlInFilePropertyUnableToLoad,3,0,1,0,1,3,88,0,1,0,30,49,9,22,485,75,10,588
1717,checkstyle-checkstyle-8.18,SuppressionsStringPrinterTest.testParseFileTextThrowable,3,0,1,0,1,4,101,0,0,0,27,53,10,22,491,74,9,560
1718,checkstyle-checkstyle-8.18,CommonUtilTest.testRelativeNormalizedPath,1,0,0,0,0,2,24,0,0,0,7,15,6,7,98,18,8,185
1719,checkstyle-checkstyle-8.18,CheckerTest.testClearCache,1,0,0,0,1,17,181,0,0,0,52,99,8,41,772,136,8,944
1720,checkstyle-checkstyle-8.18,SuppressWarningsHolderTest.testGetAnnotationTargetWrongArg,3,0,1,0,1,13,162,0,0,0,54,89,10,30,737,125,9,874
1721,checkstyle-checkstyle-8.18,JavadocParseTreeTest.testNonTightOptgroupHtmlTag,0,0,0,0,1,1,15,0,0,0,3,12,6,5,67,10,6,186
1722,checkstyle-checkstyle-8.18,ClassImportRuleTest.testClassImportRuleRegexp,8,0,0,0,0,9,137,0,0,0,28,85,7,10,533,96,8,753
1723,checkstyle-checkstyle-8.18,AbstractJavadocCheckTest.testWithMultipleChecks,1,0,0,0,1,5,56,0,1,0,16,35,8,14,243,46,8,415
1724,checkstyle-checkstyle-8.18,CustomImportOrderCheckTest.testMultiplePatternMatchesSecondPatternIsLonger,1,0,0,0,1,7,67,0,1,0,22,40,8,15,278,53,9,543
1725,checkstyle-checkstyle-8.18,ImportControlCheckTest.testPathRegexMatchesPartially,1,0,0,0,1,5,63,0,1,0,16,38,8,15,268,49,9,433
1726,checkstyle-checkstyle-8.18,MethodReferencesTest.testFromHibernate,1,0,0,0,1,3,35,0,1,0,10,22,8,13,165,31,9,250
1727,checkstyle-checkstyle-8.18,XdocsPagesTest.testAllStyleRules,2,5,0,2,1,1,385,0,0,0,88,201,15,55,2373,271,20,1505
1728,checkstyle-checkstyle-8.18,CheckstyleAntTaskTest.testCreateClasspath,2,0,0,0,0,4,61,0,0,0,13,33,8,10,220,41,8,289
1729,checkstyle-checkstyle-8.18,PackageObjectFactoryTest.testCreateCheckWithPartialPackageNameByBruteForce,1,0,0,0,1,4,62,0,0,0,13,35,9,19,282,49,8,520
1730,checkstyle-checkstyle-8.18,JavadocTagInfoTest.testException,2,0,0,1,0,5,86,0,0,0,24,49,9,17,373,66,11,407
1731,checkstyle-checkstyle-8.18,XMLLoggerTest.testNoCloseStream,1,0,0,0,1,6,61,0,0,0,19,38,8,16,242,45,8,327
1732,checkstyle-checkstyle-8.18,CheckstyleAntTaskTest.testSimultaneousConfiguration,2,0,1,0,1,4,94,0,0,0,29,49,9,22,444,74,9,450
1733,checkstyle-checkstyle-8.18,InterfaceTypeParameterNameCheckTest.testInterfaceDefault,1,0,0,0,1,4,50,0,1,0,13,30,8,14,236,43,9,341
1734,checkstyle-checkstyle-8.18,JavadocParseTreeTest.testInnerBracesInCodeTag,0,0,0,0,1,1,15,0,0,0,3,12,6,5,67,10,6,175
1735,checkstyle-checkstyle-8.18,RegexpSinglelineJavaCheckTest.testIgnoreCommentsInlineEnd,1,0,0,0,1,5,60,0,1,0,16,36,8,14,257,47,9,402
1736,checkstyle-checkstyle-8.18,HeaderCheckTest.testHeaderIsValidWithBlankLines,1,0,0,0,1,3,35,0,1,0,10,23,8,10,148,27,8,283
1737,checkstyle-checkstyle-8.18,VisibilityModifierCheckTest.testPublicFinalFieldsAllowed,1,0,0,0,1,5,53,0,1,0,16,32,8,14,226,43,9,442
1738,checkstyle-checkstyle-8.18,TranslationCheckTest.testTranslation,1,0,0,0,1,4,73,0,1,0,13,42,8,16,336,59,9,408
1739,checkstyle-checkstyle-8.18,ParenPadCheckTest.testLambdaCheckDisabledWithSpace,1,0,0,0,1,5,75,0,1,0,16,46,8,18,324,57,9,479
1740,checkstyle-checkstyle-8.18,DesignForExtensionCheckTest.testGetAcceptableTokens,1,0,0,0,0,3,36,0,0,0,10,19,7,9,146,29,9,236
1741,checkstyle-checkstyle-8.18,InterfaceMemberImpliedModifierCheckTest.testFieldsOnClassIgnored,1,0,0,0,1,3,35,0,1,0,10,22,8,13,165,31,9,303
1742,checkstyle-checkstyle-8.18,PropertyCacheFilePowerTest.testPutNonExistentExternalResourceSameExceptionBetweenRuns,5,0,0,1,1,10,297,0,0,0,81,163,10,47,1585,242,14,1662
1743,checkstyle-checkstyle-8.18,MissingDeprecatedCheckTest.testSpecialCaseDeprecated,1,0,0,0,1,3,134,0,1,0,10,90,8,15,718,99,10,1059
1744,checkstyle-checkstyle-8.18,OuterTypeFilenameTest.testOuterTypeFilename3,1,0,0,0,1,5,61,0,1,0,16,35,10,17,290,54,9,363
1745,checkstyle-checkstyle-8.18,AbstractCheckTest.testGetLine,1,0,0,0,1,3,104,0,0,0,19,49,11,21,577,78,8,509
1746,checkstyle-checkstyle-8.18,OuterTypeFilenameTest.testOuterTypeFilename2,1,0,0,0,1,5,52,0,1,0,16,30,6,16,242,48,9,332
1747,checkstyle-checkstyle-8.18,AbbreviationAsWordInNameCheckTest.testTypeAndVariablesAndMethodNamesWithNoIgnores,1,0,0,0,1,10,162,0,1,0,31,98,8,14,722,117,9,1180
1748,checkstyle-checkstyle-8.18,TypeNameTest.testTypeName,1,0,0,0,1,8,467,0,1,0,25,281,8,20,2692,314,10,2224
1749,checkstyle-checkstyle-8.18,NPathComplexityCheckTest.testCalculation,1,0,0,0,1,4,196,0,1,0,13,123,8,14,1003,133,9,795
1750,checkstyle-checkstyle-8.18,AnnotationOnSameLineCheckTest.testCheck,1,0,0,0,1,3,69,0,1,0,10,44,8,13,328,53,9,493
1751,checkstyle-checkstyle-8.18,OuterTypeFilenameTest.testOuterTypeFilename1,1,0,0,0,1,5,52,0,1,0,16,30,6,16,242,48,9,332
1752,checkstyle-checkstyle-8.18,TreeWalkerTest.testCacheWhenFileExternalResourceContentDoesNotChange,3,0,0,0,1,12,147,0,2,0,37,84,9,31,648,116,9,935
1753,checkstyle-checkstyle-8.18,SuppressWarningsCheckTest.testSingleNoUncheckedUnusedAll,1,0,0,0,1,4,294,0,1,0,13,193,8,14,1750,203,10,2424
1754,checkstyle-checkstyle-8.18,RightCurlyCheckTest.testRightCurlyIsAloneOrSinglelineLambda,1,0,0,0,1,4,50,0,1,0,13,31,8,17,219,41,9,371
1755,checkstyle-checkstyle-8.18,IndentationCheckTest.testStrictCondition,0,0,0,0,1,11,107,0,0,0,34,62,8,14,433,79,9,648
1756,checkstyle-checkstyle-8.18,IllegalImportCheckTest.testIllegalClasses,1,0,0,0,1,4,69,0,1,0,13,43,8,14,313,53,9,451
1757,checkstyle-checkstyle-8.18,DescendantTokenCheckTest.testMaxTokenType,1,0,0,0,1,7,99,0,1,0,22,58,8,14,431,71,9,554
1758,checkstyle-checkstyle-8.18,FullIdentTest.testWithArrayCreateFullIdentWithArrayDeclare,1,0,0,0,1,5,114,0,0,0,16,68,10,32,537,85,8,668
1759,checkstyle-checkstyle-8.18,ImportControlCheckTest.testGetAcceptableTokens,1,0,0,0,0,4,52,0,0,0,13,27,7,12,220,43,9,318
1760,checkstyle-checkstyle-8.18,XpathRegressionExplicitInitializationTest.testTwo,0,0,0,0,1,5,78,0,0,0,16,46,10,19,385,67,10,613
1761,checkstyle-checkstyle-8.18,CommonUtilTest.testIsNameInvalidSymbol,1,0,0,0,0,1,14,0,0,0,3,10,6,5,55,9,6,135
1762,checkstyle-checkstyle-8.18,JavaParserTest.testAppendHiddenBlockCommentNodes,8,0,0,0,1,13,185,0,0,0,40,105,9,31,767,134,9,984
1763,checkstyle-checkstyle-8.18,LineLengthCheckTest.shouldNotLogLongPackageStatements,1,0,0,0,1,4,53,0,1,0,13,32,8,14,236,42,9,337
1764,checkstyle-checkstyle-8.18,TrailingCommentCheckTest.testGetAcceptableTokens,1,0,0,0,0,2,26,0,0,0,7,16,7,8,105,20,8,213
1765,checkstyle-checkstyle-8.18,XMLLoggerTest.testAddErrorWithNullFileName,0,0,0,0,1,7,95,0,0,0,22,54,7,19,412,70,8,456
1766,checkstyle-checkstyle-8.18,AstRegressionTest.testNewlineCr,0,0,0,0,1,1,21,0,0,0,3,17,7,8,98,15,6,190
1767,checkstyle-checkstyle-8.18,ExecutableStatementCountCheckTest.testCtorDef,1,0,0,0,1,5,73,0,1,0,16,44,8,14,320,55,9,393
1768,checkstyle-checkstyle-8.18,CommonUtilTest.testIsNameEmptyLastPart,1,0,0,0,0,1,14,0,0,0,3,10,6,5,55,9,6,130
1769,checkstyle-checkstyle-8.18,MemberNameCheckTest.memberNameExtended,1,0,0,0,1,5,400,0,1,0,16,252,8,15,2375,266,9,2416
1770,checkstyle-checkstyle-8.18,SeverityMatchFilterTest.testSeverity,3,0,0,0,0,11,163,0,0,0,34,92,7,20,752,127,8,691
1771,checkstyle-checkstyle-8.18,RegexpOnFilenameCheckTest.testMatchFolderAndFileNotMatchesBoth,1,0,0,0,1,5,54,0,1,0,16,34,8,12,216,40,8,404
1772,checkstyle-checkstyle-8.18,SuppressionCommentFilterTest.testMessage,0,0,0,0,1,7,66,0,0,0,22,39,8,13,273,52,9,475
1773,checkstyle-checkstyle-8.18,XpathRegressionTypecastParenPadTest.testLeftFollowed,0,0,0,0,1,5,80,0,0,0,16,48,10,20,395,69,10,767
1774,checkstyle-checkstyle-8.18,CheckstyleAntTaskTest.testNonExistentConfig,2,0,1,0,1,5,82,0,0,0,26,44,10,20,353,60,9,421
1775,checkstyle-checkstyle-8.18,ClassFanOutComplexityCheckTest.testGetAcceptableTokens,2,0,0,0,0,5,99,0,0,0,16,60,7,23,484,77,9,631
1776,checkstyle-checkstyle-8.18,MissingDeprecatedCheckTest.testTwoInJavadocWithoutAnnotation,1,0,0,0,1,3,56,0,1,0,10,36,8,15,265,45,9,423
1777,checkstyle-checkstyle-8.18,EmptyLineSeparatorCheckTest.testPreviousLineEmptiness,1,0,0,0,1,4,70,0,1,0,13,45,8,14,322,55,9,534
1778,checkstyle-checkstyle-8.18,CsvFilterElementTest.testDecideRangePlusValue,6,0,0,0,0,7,85,0,0,0,22,51,7,8,316,60,8,341
1779,checkstyle-checkstyle-8.18,ParameterNumberCheckTest.testGetRequiredTokens,1,0,0,0,0,2,26,0,0,0,7,16,7,8,105,20,8,247
1780,checkstyle-checkstyle-8.18,NestedForDepthCheckTest.testTokensNotNull,3,0,0,0,0,4,50,0,0,0,13,28,7,9,175,34,8,333
1781,checkstyle-checkstyle-8.18,StringLiteralEqualityCheckTest.testIt,1,0,0,0,1,3,60,0,1,0,10,38,8,13,283,47,9,343
1782,checkstyle-checkstyle-8.18,UncommentedMainCheckTest.testDeepDepth,1,0,0,0,1,3,35,0,1,0,10,22,8,13,165,31,9,250
1783,checkstyle-checkstyle-8.18,AllChecksTest.testAllCheckstyleMessages,2,2,0,4,1,3,234,0,0,0,52,117,11,45,1260,164,15,920
1784,checkstyle-checkstyle-8.18,VisibilityModifierCheckTest.testImmutableSpecifiedSameTypeName,1,0,0,0,1,5,75,0,1,0,16,46,8,14,326,57,9,679
1785,checkstyle-checkstyle-8.18,JavadocStyleCheckTest.testGetAcceptableTokens,1,0,0,0,0,4,80,0,0,0,13,48,7,19,388,64,9,496
1786,checkstyle-checkstyle-8.18,MemberNameCheckTest.testInnerClass,1,0,0,0,1,4,50,0,1,0,13,30,8,14,236,43,9,318
1787,checkstyle-checkstyle-8.18,JavadocTypeCheckTest.testPkg,1,0,0,0,1,4,69,0,1,0,13,44,8,17,310,54,9,411
1788,checkstyle-checkstyle-8.18,ImportOrderCheckTest.testEclipseDefaultPositive,1,0,0,0,1,8,80,0,1,0,25,47,8,14,325,61,9,542
1789,checkstyle-checkstyle-8.18,SuppressWarningsHolderTest.testIsSuppressedByModuleId,1,0,0,0,1,3,40,0,0,0,10,25,6,10,163,28,8,233
1790,checkstyle-checkstyle-8.18,ModuleReflectionUtilTest.testIsFileSetModule,2,0,0,0,0,2,30,0,0,0,7,19,8,8,120,21,6,292
1791,checkstyle-checkstyle-8.18,AbstractViolationReporterTest.testCustomMessageWithParametersNegative,2,0,1,0,1,4,70,0,0,0,23,38,9,16,298,50,9,423
1792,checkstyle-checkstyle-8.18,RegexpHeaderCheckTest.testRegexpHeaderUrl,1,0,0,0,1,4,54,0,1,0,13,33,8,15,237,43,9,366
